[2024-12-22T00:00:01.488+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-22T00:00:01.510+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.521+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.522+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-22T00:00:01.544+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-21 00:00:00+00:00
[2024-12-22T00:00:01.552+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=27755) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-22T00:00:01.554+0000] {standard_task_runner.py:72} INFO - Started process 27757 to run task
[2024-12-22T00:00:01.556+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_insert_news', 'fetch_and_insert_news_all_countries', 'scheduled__2024-12-21T00:00:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/snowflake_connector_dag.py', '--cfg-path', '/tmp/tmpy8r22yvf']
[2024-12-22T00:00:01.559+0000] {standard_task_runner.py:105} INFO - Job 21: Subtask fetch_and_insert_news_all_countries
[2024-12-22T00:00:01.621+0000] {task_command.py:467} INFO - Running <TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [running]> on host 4fe538676cbc
[2024-12-22T05:27:13.222+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-01-31 to 2023-02-01 for JA...
[2024-12-22T05:27:15.811+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:27:20.812+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-01 to 2023-02-02 for JA...
[2024-12-22T05:27:23.793+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:27:28.795+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-02 to 2023-02-03 for JA...
[2024-12-22T05:27:31.412+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:27:36.414+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-03 to 2023-02-04 for JA...
[2024-12-22T05:27:39.039+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:27:44.040+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-04 to 2023-02-05 for JA...
[2024-12-22T05:27:46.663+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:27:51.665+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-05 to 2023-02-06 for JA...
[2024-12-22T05:27:54.387+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:27:59.389+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-06 to 2023-02-07 for JA...
[2024-12-22T05:28:02.211+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:28:07.212+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-07 to 2023-02-08 for JA...
[2024-12-22T05:28:11.908+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:28:16.909+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-08 to 2023-02-09 for JA...
[2024-12-22T05:28:19.991+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:28:24.990+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-09 to 2023-02-10 for JA...
[2024-12-22T05:28:27.680+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:28:32.681+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-10 to 2023-02-11 for JA...
[2024-12-22T05:28:36.712+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:28:41.713+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-11 to 2023-02-12 for JA...
[2024-12-22T05:28:45.720+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:28:50.721+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-12 to 2023-02-13 for JA...
[2024-12-22T05:28:55.645+0000] {logging_mixin.py:190} INFO - Inserted 217 articles into Snowflake table for JA.
[2024-12-22T05:29:00.646+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-13 to 2023-02-14 for JA...
[2024-12-22T05:29:03.344+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:29:08.346+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-14 to 2023-02-15 for JA...
[2024-12-22T05:29:12.611+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:29:17.612+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-15 to 2023-02-16 for JA...
[2024-12-22T05:29:20.344+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:29:25.344+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-16 to 2023-02-17 for JA...
[2024-12-22T05:29:28.632+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:29:33.635+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-17 to 2023-02-18 for JA...
[2024-12-22T05:29:40.786+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:29:45.788+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-18 to 2023-02-19 for JA...
[2024-12-22T05:29:49.862+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:29:54.862+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-19 to 2023-02-20 for JA...
[2024-12-22T05:29:57.664+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:30:02.666+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-20 to 2023-02-21 for JA...
[2024-12-22T05:30:08.053+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:30:13.054+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-21 to 2023-02-22 for JA...
[2024-12-22T05:30:16.424+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:30:21.425+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-22 to 2023-02-23 for JA...
[2024-12-22T05:30:27.327+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:30:32.329+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-23 to 2023-02-24 for JA...
[2024-12-22T05:30:35.205+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:30:40.207+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-24 to 2023-02-25 for JA...
[2024-12-22T05:30:43.937+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:30:48.938+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-25 to 2023-02-26 for JA...
[2024-12-22T05:30:51.981+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:30:56.981+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-26 to 2023-02-27 for JA...
[2024-12-22T05:31:01.235+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:31:06.236+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-27 to 2023-02-28 for JA...
[2024-12-22T05:31:09.188+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:31:14.189+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-28 to 2023-03-01 for JA...
[2024-12-22T05:31:17.663+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:31:22.665+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-01 to 2023-03-02 for JA...
[2024-12-22T05:31:26.528+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:31:31.530+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-02 to 2023-03-03 for JA...
[2024-12-22T05:31:35.340+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:31:40.341+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-03 to 2023-03-04 for JA...
[2024-12-22T05:31:43.160+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:31:48.162+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-04 to 2023-03-05 for JA...
[2024-12-22T05:31:51.456+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:31:56.455+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-05 to 2023-03-06 for JA...
[2024-12-22T05:32:00.022+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:32:05.023+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-06 to 2023-03-07 for JA...
[2024-12-22T05:32:07.813+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:32:12.814+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-07 to 2023-03-08 for JA...
[2024-12-22T05:32:15.493+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:32:20.494+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-08 to 2023-03-09 for JA...
[2024-12-22T05:32:24.861+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:32:29.862+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-09 to 2023-03-10 for JA...
[2024-12-22T05:32:32.561+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:32:37.562+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-10 to 2023-03-11 for JA...
[2024-12-22T05:32:40.506+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:32:45.508+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-11 to 2023-03-12 for JA...
[2024-12-22T05:32:52.644+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:32:57.644+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-12 to 2023-03-13 for JA...
[2024-12-22T05:33:02.664+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:33:07.665+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-13 to 2023-03-14 for JA...
[2024-12-22T05:33:10.369+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:33:15.371+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-14 to 2023-03-15 for JA...
[2024-12-22T05:33:18.103+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:33:23.102+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-15 to 2023-03-16 for JA...
[2024-12-22T05:33:26.058+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:33:31.059+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-16 to 2023-03-17 for JA...
[2024-12-22T05:33:34.018+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:33:39.019+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-17 to 2023-03-18 for JA...
[2024-12-22T05:33:43.306+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:33:48.307+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-18 to 2023-03-19 for JA...
[2024-12-22T05:33:52.027+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:33:57.027+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-19 to 2023-03-20 for JA...
[2024-12-22T05:34:00.390+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:34:05.391+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-20 to 2023-03-21 for JA...
[2024-12-22T05:34:12.065+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:34:17.066+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-21 to 2023-03-22 for JA...
[2024-12-22T05:34:20.064+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:34:25.064+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-22 to 2023-03-23 for JA...
[2024-12-22T05:34:28.627+0000] {logging_mixin.py:190} INFO - Inserted 90 articles into Snowflake table for JA.
[2024-12-22T05:34:33.629+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-23 to 2023-03-24 for JA...
[2024-12-22T05:34:35.940+0000] {logging_mixin.py:190} INFO - No valid articles found for date: 2023-03-23 and country: JA.
[2024-12-22T05:34:40.942+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-24 to 2023-03-25 for JA...
[2024-12-22T05:34:43.122+0000] {logging_mixin.py:190} INFO - Inserted 36 articles into Snowflake table for JA.
[2024-12-22T05:34:48.123+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-25 to 2023-03-26 for JA...
[2024-12-22T05:34:52.753+0000] {logging_mixin.py:190} INFO - Inserted 103 articles into Snowflake table for JA.
[2024-12-22T05:34:57.753+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-26 to 2023-03-27 for JA...
[2024-12-22T05:35:00.500+0000] {logging_mixin.py:190} INFO - Inserted 105 articles into Snowflake table for JA.
[2024-12-22T05:35:05.502+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-27 to 2023-03-28 for JA...
[2024-12-22T05:35:09.154+0000] {logging_mixin.py:190} INFO - Inserted 90 articles into Snowflake table for JA.
[2024-12-22T05:35:14.155+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-28 to 2023-03-29 for JA...
[2024-12-22T05:35:17.881+0000] {logging_mixin.py:190} INFO - Inserted 62 articles into Snowflake table for JA.
[2024-12-22T05:35:22.882+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-29 to 2023-03-30 for JA...
[2024-12-22T05:35:24.981+0000] {logging_mixin.py:190} INFO - Inserted 65 articles into Snowflake table for JA.
[2024-12-22T05:40:29.963+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-30 to 2023-03-31 for JA...
[2024-12-22T05:40:32.659+0000] {logging_mixin.py:190} INFO - Inserted 53 articles into Snowflake table for JA.
[2024-12-22T05:40:37.661+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-31 to 2023-04-01 for JA...
[2024-12-22T05:40:42.373+0000] {logging_mixin.py:190} INFO - Inserted 72 articles into Snowflake table for JA.
[2024-12-22T05:40:47.375+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-01 to 2023-04-02 for JA...
[2024-12-22T05:40:49.432+0000] {logging_mixin.py:190} INFO - Inserted 47 articles into Snowflake table for JA.
[2024-12-22T05:40:54.432+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-02 to 2023-04-03 for JA...
[2024-12-22T05:40:59.155+0000] {logging_mixin.py:190} INFO - Inserted 42 articles into Snowflake table for JA.
[2024-12-22T05:41:04.158+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-03 to 2023-04-04 for JA...
[2024-12-22T05:41:06.914+0000] {logging_mixin.py:190} INFO - Inserted 59 articles into Snowflake table for JA.
[2024-12-22T05:41:11.915+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-04 to 2023-04-05 for JA...
[2024-12-22T05:41:15.499+0000] {logging_mixin.py:190} INFO - Inserted 61 articles into Snowflake table for JA.
[2024-12-22T05:41:20.501+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-05 to 2023-04-06 for JA...
[2024-12-22T05:41:23.320+0000] {logging_mixin.py:190} INFO - Inserted 74 articles into Snowflake table for JA.
[2024-12-22T05:41:28.321+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-06 to 2023-04-07 for JA...
[2024-12-22T05:41:32.488+0000] {logging_mixin.py:190} INFO - Inserted 58 articles into Snowflake table for JA.
[2024-12-22T05:41:37.489+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-07 to 2023-04-08 for JA...
[2024-12-22T05:41:40.855+0000] {logging_mixin.py:190} INFO - Inserted 48 articles into Snowflake table for JA.
[2024-12-22T05:41:45.856+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-08 to 2023-04-09 for JA...
[2024-12-22T05:41:47.916+0000] {logging_mixin.py:190} INFO - Inserted 30 articles into Snowflake table for JA.
[2024-12-22T05:41:52.917+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-09 to 2023-04-10 for JA...
[2024-12-22T05:41:55.148+0000] {logging_mixin.py:190} INFO - Inserted 39 articles into Snowflake table for JA.
[2024-12-22T05:42:00.149+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-10 to 2023-04-11 for JA...
[2024-12-22T05:42:03.070+0000] {logging_mixin.py:190} INFO - Inserted 83 articles into Snowflake table for JA.
[2024-12-22T05:42:08.071+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-11 to 2023-04-12 for JA...
[2024-12-22T05:42:10.133+0000] {logging_mixin.py:190} INFO - Inserted 50 articles into Snowflake table for JA.
[2024-12-22T05:42:15.136+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-12 to 2023-04-13 for JA...
[2024-12-22T05:42:17.131+0000] {logging_mixin.py:190} INFO - Inserted 58 articles into Snowflake table for JA.
[2024-12-22T05:42:22.132+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-13 to 2023-04-14 for JA...
[2024-12-22T05:42:24.268+0000] {logging_mixin.py:190} INFO - Inserted 61 articles into Snowflake table for JA.
[2024-12-22T05:42:29.270+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-14 to 2023-04-15 for JA...
[2024-12-22T05:42:31.284+0000] {logging_mixin.py:190} INFO - Inserted 54 articles into Snowflake table for JA.
[2024-12-22T05:42:36.287+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-15 to 2023-04-16 for JA...
[2024-12-22T05:42:38.598+0000] {logging_mixin.py:190} INFO - Inserted 41 articles into Snowflake table for JA.
[2024-12-22T05:42:43.599+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-16 to 2023-04-17 for JA...
[2024-12-22T05:42:46.157+0000] {logging_mixin.py:190} INFO - Inserted 21 articles into Snowflake table for JA.
[2024-12-22T05:42:51.158+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-17 to 2023-04-18 for JA...
[2024-12-22T05:42:53.099+0000] {logging_mixin.py:190} INFO - Inserted 61 articles into Snowflake table for JA.
[2024-12-22T05:42:58.101+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-18 to 2023-04-19 for JA...
[2024-12-22T05:43:01.399+0000] {logging_mixin.py:190} INFO - Inserted 67 articles into Snowflake table for JA.
[2024-12-22T05:43:06.401+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-19 to 2023-04-20 for JA...
[2024-12-22T05:43:08.284+0000] {logging_mixin.py:190} INFO - Inserted 77 articles into Snowflake table for JA.
[2024-12-22T05:43:13.285+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-20 to 2023-04-21 for JA...
[2024-12-22T05:43:16.226+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:43:21.227+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-21 to 2023-04-22 for JA...
[2024-12-22T05:43:24.034+0000] {logging_mixin.py:190} INFO - Inserted 216 articles into Snowflake table for JA.
[2024-12-22T05:43:29.035+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-22 to 2023-04-23 for JA...
[2024-12-22T05:43:31.877+0000] {logging_mixin.py:190} INFO - Inserted 249 articles into Snowflake table for JA.
[2024-12-22T05:43:36.878+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-23 to 2023-04-24 for JA...
[2024-12-22T05:43:39.719+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:43:44.720+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-24 to 2023-04-25 for JA...
[2024-12-22T05:43:52.957+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:43:57.956+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-25 to 2023-04-26 for JA...
[2024-12-22T05:44:00.661+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:44:05.662+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-26 to 2023-04-27 for JA...
[2024-12-22T05:44:09.093+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:44:14.095+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-27 to 2023-04-28 for JA...
[2024-12-22T05:44:18.142+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:44:23.141+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-28 to 2023-04-29 for JA...
[2024-12-22T05:44:26.109+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:44:31.110+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-29 to 2023-04-30 for JA...
[2024-12-22T05:44:33.932+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:49:38.915+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-04-30 to 2023-05-01 for JA...
[2024-12-22T05:49:41.841+0000] {logging_mixin.py:190} INFO - Inserted 219 articles into Snowflake table for JA.
[2024-12-22T05:49:46.843+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-01 to 2023-05-02 for JA...
[2024-12-22T05:49:49.472+0000] {logging_mixin.py:190} INFO - Inserted 232 articles into Snowflake table for JA.
[2024-12-22T05:49:54.471+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-02 to 2023-05-03 for JA...
[2024-12-22T05:49:57.294+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:50:02.296+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-03 to 2023-05-04 for JA...
[2024-12-22T05:50:05.044+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:50:10.045+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-04 to 2023-05-05 for JA...
[2024-12-22T05:50:12.791+0000] {logging_mixin.py:190} INFO - Inserted 143 articles into Snowflake table for JA.
[2024-12-22T05:50:17.792+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-05 to 2023-05-06 for JA...
[2024-12-22T05:50:20.597+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:50:25.597+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-06 to 2023-05-07 for JA...
[2024-12-22T05:50:28.235+0000] {logging_mixin.py:190} INFO - Inserted 176 articles into Snowflake table for JA.
[2024-12-22T05:50:33.237+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-07 to 2023-05-08 for JA...
[2024-12-22T05:50:35.850+0000] {logging_mixin.py:190} INFO - Inserted 215 articles into Snowflake table for JA.
[2024-12-22T05:50:40.852+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-08 to 2023-05-09 for JA...
[2024-12-22T05:50:43.688+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:50:48.690+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-09 to 2023-05-10 for JA...
[2024-12-22T05:50:51.483+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:50:56.482+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-10 to 2023-05-11 for JA...
[2024-12-22T05:50:59.374+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:51:04.376+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-11 to 2023-05-12 for JA...
[2024-12-22T05:51:07.196+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:51:12.197+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-12 to 2023-05-13 for JA...
[2024-12-22T05:51:14.853+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:51:19.855+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-13 to 2023-05-14 for JA...
[2024-12-22T05:51:22.811+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:51:27.811+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-14 to 2023-05-15 for JA...
[2024-12-22T05:51:30.693+0000] {logging_mixin.py:190} INFO - Inserted 219 articles into Snowflake table for JA.
[2024-12-22T05:51:35.695+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-15 to 2023-05-16 for JA...
[2024-12-22T05:51:38.995+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:51:43.997+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-16 to 2023-05-17 for JA...
[2024-12-22T05:51:46.895+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:51:51.896+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-17 to 2023-05-18 for JA...
[2024-12-22T05:51:54.805+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:51:59.807+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-18 to 2023-05-19 for JA...
[2024-12-22T05:52:02.354+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:52:07.355+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-19 to 2023-05-20 for JA...
[2024-12-22T05:52:10.329+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T05:52:15.330+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-05-20 to 2023-05-21 for JA...
